אלמכ'תאר פי אלאמאנאת	(المختار في) الأمانات
אלאסתדלאל ، פהו יג'על	الاستدلال ، فهو يجعل
אלדליל לא דלילא ויג'על	الدليل لا دليلاً ويجعل
איצ'א גיר אלדליל דלילא	أيضًا غير الدليل دليلاً
. ואמא לאנה יבצר טרק	. وإمّا لأنَّه يبصر طرق
אלנט'ר לכנה יאכ'ד' נפסה	النَّظر لكنَّه يأخذ نفسه
באלאכ'ף ואלאסהל פיבאדר	بالأخف والأسهل فيبادر
באלקטע עלי אלמעלום מן	بالقطع على المعلوم من
קבל אסתתמאם צנאעהֿ אלנט'ר	قبل استتمام صناعة النَّظر
פיה פכיף אן אג'תמע עלי	فيه فكيف إنْ اجتمع على
אלאנסאן אלאמראן ג'מיעא	الإنسان الأمران جميعًا
אעני אן יכון לא יבצר	أعني أن يكون لا يُبصر
צנאעהֿ אלנט'ר ומע ד'לך	صناعة النَّظر ومع ذلك
פלא יבצר אלי אסתיפא מא	فلا يبصر إلى استيفاء ما
יחסנה מנהא בחקה פהו עלי	يحسنه منها بحقّه فهو على
בעד מן מטלובה או עלי	بُعد من مطلوبه أو على
חאל יאס וקאל אלולי פי	حال يأس وقال الوليُّ في
אלאולין מן מד'כורינא	الأوّلين من مذكورينا
: H H H ופי אלאכ'רין	: H H H وفي الآخرين
מנהם : H H H H H . פכיף	منهم : H H H H H . فكيف
אן אנצ'ם אלי הד'ין אלאמרין	إنْ انضمّ إلى هذين الأمرين
אמר ת'אלת' ، והו אן יכון	أمر ثالث ، وهو أنْ يكون
אלטאלב לא ידרי מא יטלב	الطالب لا يدري ما يطلب
פאנה יכון חיניד' אבעד	فإنه يكون حينئذ أبعد
ואסחק ללאמר חתי אן אלחק	وأسحق للأمر حتّى أنَّ الحقّ
יתפק לה אן יואפיה והו	يتّفق له أنْ يوافيه وهو
לא ישער בה פהו חיניד'	لا يشعر به فهو حينئذ
כמן לא יבצר צנאעהֿ אלוזן	كمن لا يُبصر صناعة الوزن
בל לא שכל אלמיזאן ואלצנג'את	بل لا شكل الميزان والصنجات
בל לא כם מן אלדראהם לה	بل لا كم مِن الدراهم له
קבל כ'צמה פלו חתי יופיה	قبل خصمه فلو حتّى يوفيه
כ'צמה חקה עלי אלאסתקצא	خصمه حقّه على الاستقصاء
לם יצח ענדה אנה ופאה	لم يصحّ عنده أنه وفّاه
ואן אכ'ד' מנה אקל ממה	وإنْ أخذ منه أقل ممّا
יג'ב לה פהו יתוהם אנה	يجب له فهو يتوهّم أنّه
קד בכ'סה . וכמא תכון	قد بخّسه . وكما تكون
הד'ה חאל אלאת'נין אלמטאלב	هذه حال الاثنين المُطالِب
אחדהמא אלאכ'ר ، כד'אך	أحدهما الآخر ، كذاك
הי חאל אלמלתמס אלוזן	هي حال الملتمس الوزن
לנפסה והו ג'אהל באלאלאת	لنفسه وهو جاهل بالآلات
אלואזנה ואלכמיה אלמוזונה	الوازنة والكمية الموزونة
. ויכון מת'לה איצ'א כמן	. ويكون مَثَله أيضًا كمَن
יקבץ' אלמאל לנפסה או	يقبض المال لنفسه أو
לגירה בנקד והו לא יבצר	لغيره بنقد وهو لا يُبصر
צנאעהֿ אלנקד פהו כת'ירא	صناعة النقد فهو كثيرًا
מא יאכ'ד' אלרדי וירד	ما يأخذ الرديء ويردّ
אלג'יד וכבעץ' ד'לך אן	الجيّد وكبعض ذلك أن
יבצר אלצנאעה ולם יג'וד	يُبصر الصناعة ولم يُجوِّد
אלתאמל וקד שבה אלכתאב	التأمّل وقد شبّه الكتاب
אנתקאד כלאם אלעדל בנקד	انتقاد كلام العدل بنقد
אלמאל אד' קאל : H H H	المال إذ قال : H H H
H ، H H H יג'עלון אלד'ין	H ، H H H يجعلون الذين
עלמהם בצנאעהֿ אלנקד קליל	علمهم بصناعة النقد قليل
، או צברהם קליל ، ט'אלמין	، أو صبرهم قليل ، ظالمين
, לאנהם יט'למון אלחק	, لأنَّهم يظلمون الحقَّ
، כקולה : H H H וג'על	، كقوله : H H H وجعل
אלמנתקדיה צאלחין לבצרהם	المنتقدية صالحين لبصرهم
וצברהם בתקדימה H H H	وصبرهم بتقديمه H H H
H ואנמא יחמד אלעלמא ותזול	H وإنَّما يحمد العلماء وتزول
עליהם אלשכוך בצברהם עלי	عليهم الشُّكوك بصبرهم على
אסתגראק אג'זא אלצנאעה	استغراق أجزاء الصِّناعة
בעד בצרהם בהא כמא קאל	بعد بصرهم بها كما قال
אלולי : H H H H H H H	الوليُّ : H H H H H H H
H H וקאל אלולי אלאכ'ר	H H وقال الوليُّ الآخر
: H H H H H H H . ואלד'י	: H H H H H H H . والذي
דעאני אלי אלתצריח בהד'א	دعاني إلى التَّصريح بهذا
אלקול הו אן ראית כת'ירא	القول هو أنْ رأيتُ كثيرًا
מן אלנאס עליה פי אמאנאתהם	من الناس عليه في أماناتهم
ואעתקאדאתהם פמנהם מן	واعتقاداتهم فمنهم من
קד וצל אלי אלחק והו בה	قد وصل إلى الحقّ وهو به
עארף סאר ופיה יקול אלנבי	عارف سارٌّ وفيه يقول النَّبي
: H H H ، H H H H H H	: H H H ، H H H H H H
. ומנהם מן קד וצל אלי	. ومنهم من قد وصل إلى
אלחק והו פיה שאך גיר	الحقّ وهو فيه شاكٌّ غير
מתחקק וגיר מתמסך ופיה	متحقّق وغير متمسِّك وفيه
יקול אלנבי : H H H H	يقول النَّبي : H H H H
، H H H . ומנהם מן קד	، H H H . ومنهم من قد
תחקק באלבאטל עלי ט'ן	تحقّق بالباطل على ظنّ
אנה אלחק פהו מתמסך באלזור	أنه الحقّ فهو متمسِّك بالزُّور
ותארך ללמסתוי ופיה יקול	وتارك للمستوي وفيه يقول
: H H H ، H H H H H .	: H H H ، H H H H H .
ומנהם מן אסתעמל נפסה	ومنهم من استعمل نفسه
פי מד'הב מא זמאנא ורפצ'ה	في مذهبٍ ما زمانًا ورفضه
לכ'לה ראי פיה ת'ם אנתקל	وخَلَّهُ رأي فيه ثمّ انتقل
אלי מד' אכ'ר זמאנא וזהד	إلى مذهب آخر زمانًا وزهد
פיה לשי אנכרה ת'ם אנתקל	فيه لشيء أنكره ثمّ انتقل
אלי אכ'ר זמאנא ורמי בה	إلى آخر زمانًا ورمى به
למעני אפסדה ענדה פהו	لمعنى أفسده عنده فهو
מד'בד'ב מא אקאם ומת'לה	مذبذب ما أقام ومثله
כמן יריד מדינה וליס יערף	كمَن يريد مدينة وليس يعرف
אלטריק אליהא פהו יסלך	الطَّريق إليها فهو يسلكُ
פרסכ'א פי סכה פיתחיר	فرسخًا في سكّة فيتحيّر
פירג'ע ויסלך פי אכ'רי	فيرجع ويسلكُ في أخرى
פרסכ'א פיתחיר פירג'ע	فرسخًا فيتحيّر فيرجع
וכד'לך פי ת'אלת'ה וראבעה	وكذلك في ثالثة ورابعة
ופיה יקול אלכתאב : H	وفيه يقول الكتاب : H
H H H H H H H H יעני	H H H H H H H H يعني
H H H . פלמא וקפת עלי	H H H . فلمّا وقفتُ على
הד'ה אלאצול וסו פרועהא	هذه الأصول وسوء فروعها
אוג'עני קלבי לג'נסי ،	أوجعني قلبي لجنسي ،
ג'נס אלנאטקין ואהתזת	جنس الناطقين واهتزَّت
נפסי לאמתנא בני אסראיל	نفسي لأمَّتنا بني إسرائيل
ממא ראיתה פי זמאני הד'א	ممّا رأيته في زماني هذا
מן כת'יר מן אלמומנין	من كثير من المؤمنين
אימאנהם לא כ'אלץ ואעתקאדהם	إيمانهم لا خالص واعتقادهم
גיר צחיח וכת'יר מן אלמבטלין	غير صحيح وكثير من المُبطِلين
יתט'אהרון באלפסאד וקד	يتظاهرون بالفساد وقد
טלוא עלי אהל אלחק והם	طَلُوا على أهل الحقّ وهم
יצ'לון . וראית אלנאס	يضلّون . ورأيتُ النَّاسَ
כאנהם קד גרקוא פי בחאר	كأَنّهم قد غرقوا في بحار
אלשכוך ، וקד גמרתהם אמוא	الشُّكوك ، وقد غمرتهم أمواء
אללבוס ולא כ'איץ' יצעדהם	الُّلبوس ولا خائضٌ يُصعدهم
מן אעמאקהא ולא סאבח יאכ'ד'	من أعماقها ولا سابحٌ يأخذُ
באידיהם פיעברונהא וכאן	بأيديهم فيعبرونها وكان
ענדי ממא עלמני רבי מא	عندي ممّا علَّمني ربِّي ما
אג'עלה להם סנדא ופי וסעי	أجعله لهم سَنْدًا وفي وسعي
ממא רזקני מא אצ'עה להם	ممّا رزقني ما أضعُه لهم
רפדא ראית אן אסעאפהם	رِفْدًا رأيتُ أنَّ إسعافهم
בה עלי ואג'ב וארשאדהם	به عليَّ واجبٌ وإرشادهم
אליה לי לאזם וכבעץ' מא	إليه لي لازمٌ وكبعض ما
קאל אלולי : H H H H H	قال الوليُّ : H H H H H
H H H H H H H H H H H	H H H H H H H H H H H
H H H . מעמא אני מעתרף	H H H . معما أنّي متعرِّفٌ
בקצר עלמי ען אלתמאם ומקר	بقصر عِلْمِي عن التَّمام ومُقرٌّ
בנקץ מערפתי ען אלכמאל	بنقص معرفتي عن الكمال
ולסת באעלם מן אהל ג'ילי	ولستُ بأَعلم من أهل جيلي
לכן בטאקתי ומא בלגה עקלי	لكِّن بطاقتي وما بلغه عقلي
וכמא קאל אלולי : H H	وكما قالَ الوليُّ : H H
H H H H H H H H H H H	H H H H H H H H H H H
H H H H H H H H H H .	H H H H H H H H H H .
פאסאלה תעלי אן יופקני	فأسأله تعالى أنْ يوفِّقني
וירזקני במא עלמה מן קצדי	ويرزقني بما عَلِمَهُ من قصدي
וניתי פי מא טלבתה , לא	ونيَّتي في ما طلبته , لا
חסב נילי וקותי וכמא קאל	حسب نيلي وقوّتي وكما قالَ
וליה אלאכ'ר : H H H H	ولِّيه الآخر : H H H H
H H ، H H . ואנא אנשד	H H ، H H . وأنا أَنشدُ
באללה כ'אלק אלכל אי עאלם	بالله خالق الكلّ أيَّ عالِم
אטלע פי הד'א אלכתאב פראי	اطَّلعَ في هذا الكتاب فرأى
פיה כ'ללא למא סדדה ,	فيه خللاً لما سدّده ,
או חרפא משכלא למה צרפה	أو حرفًا مشكلاً لما صرفه
אלי אחסנה ולא יקעדה ען	إلى أحسنه ولا يقعده عن
ד'לך מעני אן אלכתאב ליס	ذلك معنى أنَّ الكتاب ليس
לה , או אני סבקתה אלי	له , أو أنِّي سبقته إلى
איצ'אח מא לם יצ'ח לה	إيضاح ما لم يَضُح له
פאן ללעלמא שפקה עלי אלחכמה	فإنَّ للعلماء شفقة على الحكمة
יג'דון להא חנינא כחנין	يجدون لها حنينًا كحنين
ד'וי אלקראבה כמא קאל	ذوي القرابة كما قالَ
: H H : H H . ועלי אן	: H H : H H . وعلى أنَّ
אלג'האל איצ'א קד ישפקון	الجُهَّال أيضًا قد يشفقون
עלי ג'הלהם פלא ידעונה	على جهلهم فلا يدعونه
כמא קאל : H H H H ، H	كما قال : H H H H ، H
H H . ת'ם אקסם עלי כל	H H . ثمّ أُقسمُ على كلِّ
טאלב עלם ינט'ר פיה באסם	طالبِ عِلْمٍ ينظر فيه باسم
אללה תעלי אן יכ'לץ פי	الله تعالى أن يُخْلِصُ في
חאל קראתה איאה ויקצד	حال قراءته إياه ويقصدُ
בד'לך נחו קצדי ויתרך	بذلك نحو قصدي ويتركُ
אלתעצב ואלתג'אזף ואלתכ'ליט	التعصُّب والتَّجازف والتَّخليط
חתי תתם לה אלמצלחה ויכמל	حتّى تتم له المصلحة ويكمل
לה אלנפע , בקוהֿ מן עלמנא	له النفع , بقوَّة من علمنا
מא ינפענא וחולה כמא קאל	ما ينفعنا وحوله كما قالَ
אלולי : H H H H H H H	الوليُّ : H H H H H H H
H . פאד'א סאר אלעאלם	H . فإذا سار العالِمُ
ואלתלמיד' באלכתאב הד'א	والتلميذُ بالكتاب هذا
אלמסיר אזדאד אלמתחקק	المسير ازدادَ المتحقِّق
תחקקא ואנכשף ען אלשאך	تحقيقًا وانكشف عن الشاك
שכה וצאר אלמומן תקלידא	شكَّه وصار المؤمن تقليدًا
יומן נט'רא ופהמא ווקף	يؤمن نظرًا وفهمًا ووقفَ
אלטאען בתלביס ואסתחא	الطاعنُ بتلبيس واستحى
אלמעאנד אלמכאבר ופרח	المُعاندُ المُكابرُ وفرحَ
אלצאלחון ואלמסתקימון	الصَّالحون والمستقيمون
כמא קאל : H H H H H H	كما قالَ : H H H H H H
H ، H H H H H H H . ובד'לך	H ، H H H H H H H . وبذلك
תנצלח בואטן אלנאס מת'ל	تَصلح بواطنَ النَّاسِ مثل
ט'ואהרהם ، ותכ'לץ צלואתהם	ظواهرهم ، وتخلص صلواتهم
אד'א צאר מעהם פי קלובהם	إذا صار معهم في قلوبهم
אלזאג'ר להם ען אלכ'טא	الزَّاجر لهم عن الخطأ
אלמחרך להם עלי אלצואב	المُحرِّكُ لهم على الصَّوابِ
וכמא קאל אלולי : H H	وكما قالَ الوليُّ : H H
H ، H H H H . וצחת אמאנאתהם	H ، H H H H . وصحَّت أَماناتهم
פי מעאמלאתהם וקלת מנאפסתהם	في معاملاتهم وقلَّت منافستهم
בעץ' לבעץ' עלי אמור אלדניא	بعض لبعض على أمور الدنيا
ואקבלוא אג'מעון אלי ד'י	وأَقبلوا أَجمعون إلى ذي
אלחכמה ולם ימילוא אלי	الحِكمة ولم يميلوا إلى
שי סואה פיכון להם גות'א	شيء سواه فيكون لهم غوثًا
ורחמה ונעמה כמא קאל תסבח	ورحمة ونعمة كما قال تسبَّح
ותקדס : H H H H H H H	وتقدَّسَ : H H H H H H H
H H H H . ג'מיע ד'לך	H H H H . جميع ذلك
יכון מע ארתפאע אלשכוך	يكون مع ارتفاع الشُّكوك
וזואל אלשבה פינבסט אלעלם	وزوال الشُبَه فينبسط العِلم
באללה ואלמערפה בדינה	بالله والمعرفة بدينه
פי אלעאלם כאנבסאט אלמא	في العالم كانبساط الماء
פי אג'זא אלבחר כמא קאל	في أجزاء البحر كما قال
: H H H H H H H H H .	: H H H H H H H H H .
. ולעל מתפכרא יתפכר פי	– ولعلَّ متفكِّرًا يتفكَّر في
אן אלבארי ג'ל ועז תרך	أنَّ الباري جلَّ وعزَّ تركَ
הד'ה אלשבה ואלשכוך פי	هذه الشُبَه والشُّكوك في
מא בין מכ'לוקיה . פנקדם	ما بين مخلوقيه . فنقدِّمُ
אלג'ואב האהנא ען ד'לך	الجَّوابَ هاهنا عن ذلك
ונקול אן כונהם מכ'לוקין	ونقول إنَّ كونهم مخلوقين
, הו בד'אתה אוג'ב להם	, هو بذاته أوجبَ لهم
אלתשבה ואלתכ'ייל וד'לך	التشبّه والتخييل وذلك
, אנהם למא כאנוא מחתאג'ין	, أنَّهم لمَّا كانوا محتاجين
ברסם אלכ'לקה פי כל פעל	برسم الخُلقة في كلِّ فعلٍ
יפעלונה אלי מדה מן אלזמאן	يفعلونه إلى مدَّة من الزَّمان
יתם פיהא פעלהם ג'ז בעד	يتمّ فيها فعلهم جزء بعد
ג'ז כאן אלעלם אלד'י הו	جزء كان العِلمُ الذي هو
אחד אלאפעאל מחתאג'א אלי	أحد الأفعال مُحتاجًا إلى
מת'ל ד'לך לא מחאלה פאול	مثل ذلك لا محالة فأَوَّل
מא תבתדי עלומהם להם תבתדי	ما تبتدئ علومهم لهم تبتدئ
מן אשיא מג'תמעה משכלה	من أشياء مجتمعة مشكلة
משבהה פלא יזאלוא בקוהֿ	مشبَّهة فلا يزالوا بقوَّة
אלעקל אלתי פיהם יצפונהא	العقل التي فيهم يصفونها
ויכ'לצונהא פי מדה מן	ويخلِّصونها في مدّة من
אלזמאן חתי תזול ענהם	الزَّمان حتّى تزول عنهم
אלשבה ויכ'לץ להם אלכ'אלץ	الشُبَه ويخلص لهم الخالص
גיר משארך לשי מן אלשך	غير مشارك لشيء من الشكِّ
. וכמא אן לכל צנאעה מן	. وكما أنَّ لكلِّ صناعةٍ من
צנאיעהם אג'זא אן הם קטעוא	صنائعهم أجزاء إنْ هم قطعوا
עמלהם קבל אתמאמהא לם	عملهم قبل إتمامها لم
תתם תלך אלצנאעה כאלזראעה	تتم تلك الصِّناعة كالزِّراعة
ואלבנא ואלנסג' וסאיר	والبناء والنَّسج وسائر
אלצנאיע אלתי אנמא תתם	الصَّنائع التي إنّما تتم
בצבר צאנעהא אלי אכ'רהא	بصبر صانعها إلى آخرها
כד'לך צנאעהֿ אלעלם תחתאג'	كذلك صناعة العِلم تحتاجُ
אן תבתדי מן אולהא ויסאיר	أنْ تبتدئ من أوَّلها ويُسايَر
מעהא פצלא פצלא אלי אכ'רהא	معها فصلاً فصلاً إلى آخرها
פפי חאל אלאבתדא אלשבה	ففي حال الابتداء الشُبَه
עשר מת'לא ופי אלחאל אלת'אני	عشر مثلاً وفي الحال الثاني
תציר תסע ופי אלחאל אלת'אלת'	تصير تسع وفي الحال الثالث
תציר ת'מאן וכד'לך כל	تصير ثمان وكذلك كلّ
מא נט'ר אלאנסאן ותאמל	ما نظر الإنسان وتأمَّل
תנאקצת חתי יכ'לץ לה פי	تناقصت حتّى يخلص له في
אכ'ר אלאחואל ד'לך אלואחד	آخر الأحوال ذلك الواحد
אלמטלוב פיבקי מפרדא לא	المطلوب فيبقى مفردًا لا
שבהה מעה ולא שך פיה ושרח	شبهة معه ولا شكّ فيه وشرح
ד'לך כמן יטלב ברהאנא	ذلك كمن يطلب برهانًا
ליקף בה עלי אלצחיח ונחן	ليقف به على الصَّحيح ونحن
נעלם אן אלברהאן כלאם	نعلم أنَّ البرهان كلام
ואלכלאם פהו נוע מן אנואע	والكلام فهو نوع من أنواع
אלצות ואלאצואת פכת'ירהֿ	الصَّوت والأصوات فكثيرة
אלצ'רוב פאד'א אכ'ד' אלטאלב	الضروب فإذا أخذ الطالب
פי תצפיהֿ מטלובה וקד	في تصفية مطلوبه وقد
וג'ד אלאצואת משבהה משככה	وجد الأصوات مشبَّهة مُشكَّكة
לה אבתדא פי תפצילהא פפצל	له ابتدأ في تفصيلها ففصل
מנהא אולא אצואת אצטכאך	منها أولاً أصوات اصطكاك
אלאג'ראם כוקוע אלחג'ר	الأجرام كوقوع الحجر
עלי אלחג'ר וכאנשקאק בעץ'	على الحجر وكانشقاق بعض
אלאג'סאם ומת'ל צות אלרעד	الأجسام ومثل صوت الرعد
ואלהד ומא אשבההמא פעלם	والهد وما أشباههما فعلم
אן הד'ה אלצ'רוב לא יסתפיד	أنَّ هذه الضروب لا يستفيد
מן צותהא ברהאנא . ויחצל	من صوتها برهانًا . ويحصل
פי אלחאל אלת'אני עלי	في الحال الثاني على
אצואת אלחיואן פקט והי	أصوات الحيوان فقط وهي
אלתי ירג'א אלברהאן אן	التي يرجو البرهان أنْ
יכון פיהא . ת'ם יפצל	يكون فيها . ثمّ يفصل
מנהא אצואת כל חיואן גיר	منها أصوات كلّ حيوان غير
נאטק כאלצהיל ואלנהיק	ناطق كالصَّهيل والنَّهيق
ואלת'גא ומן אשבההא אד'	والثغاء ومن أشباهها إذ
לא חכמה איצ'א פי הד'ה	لا حكمة أيضًا في هذه
. ויחצל פי אלחאל אלת'אלת'	. ويحصل في الحال الثالث
עלי אצואת אלנאס כ'אצה	على أصوات النَّاس خاصَّة
אלתי פי נועהא כל עלם	التي في نوعها كلّ عِلْم
ת'ם יפצל מנהא אלצות אלטביעי	ثمّ يفصل منها الصَّوت الطبيعي
אלד'י הו צות אא ואשבאהה	الذي هو صوت آ-آ وأشباهه
אד' לא פאידה פיה ויחצל	إذ لا فائدة فيه ويحصل
פי אלראבע אלי צות אלאנסאן	في الرابع إلى صوت الإنسان
אלתעלימי אלד'י הו אלחרוף	التعليمي الذي هو الحروف
אלכ"ב ת'ם יפצל מנהא אלחרוף	الـ"22" ثمّ يفصل منها الحروف
אלמפרדה אד' כאן אי חרף	المفردة إذ كان أي حرف
מנהא קיל מפרדא לא יפיד	منها قيل مفردًا لا يفيد
שיא כקולך H H H H H כל	شيء كقولك H H H H H كل
ואחד עלי חדה ויחצל פי	واحد على حدة ويحصل في
אלחאל אלכ'אמס עלי אלחרוף	الحال الخامس على الحروف
אלמרכבה חתי תציר אסמא	المركَّبة حتّى تصير اسمًا
כל ואחד ד'ו חרפין או	كلّ واحد ذو حرفين أو
ת'לאת'ה או מא זאד עלי	ثلاثة أو ما زاد على
ד'לך . ת'ם יפצל מנהא	ذلك . ثمّ يفصل منها
כל אסם מפרד קיל וחדה	كلّ اسم مفرد قيل وحده
כקולך סמא H אנסאן פהו	كقولك سماء H إنسان فهو
גיר לשי מן הד'ה אלאסמא	غير لشيء من هذه الأسماء
אד'א כאנת מפרדה פי אן	إذا كانت مفردة في أن
ידל עלי אכת'ר מן אלמסמי	يدلّ على أكثر من المسمّى
בהא . ויחצל פי אלחאל	بها . ويحصل في الحال
אלסאדס עלי אלכלאם אלמג'מוע	السادس على الكلام المجموع
כקולך H יצ'י אנסאן יכתב	كقولك H يضيء إنسان يكتب
ומא אשבה ד'לך מן כלמתין	وما أشبه ذلك من كلمتين
מג'מועתין או כלמה ואסם	مجموعتين أو كلمة واسم
או מא זאד עלי ד'לך פאנה	أو ما زاد على ذلك فإنَّه
ירג'ו מן הד'ה אלמג'מועאת	يرجو من هذه المجموعات
אן יצל בהא אלי מטולבה	أنْ يصل بها إلى مطلوبه
. ת'ם יפצל מנהא אלכלמתין	. ثمّ يفصل منها الكلمتين
אלמג'מועתין או מא זאד	المجموعتين أو ما زاد
וכל מא ליס הו כ'ברא ויחצל	وكل ما ليس هو خبرًا ويحصل
פי אלמנזלה אלסאבעה עלי	في المنزلة السابعة على
אכ'באר ، כקול אלקאיל	أخبار ، كقول القائل
קד טלעת אלשמס ונזל אלמטר	قد طلعت الشَّمس ونزل المطر
ומא אשבה ד'לך . ת'ם יעלם	وما أشبه ذلك . ثمّ يعلم
אן אלאכ'באר עלי ת'לאת'ה	أنَّ الأخبار على ثلاثة
צ'רוב , ואג'ב כקולך אלנאר	ضروب , واجب كقولك النَّار
חארה וממתנע כקולך אלנאר	حارَّة وممتنع كقولك النَّار
בארדה וממכן כקולך H בבגדאד	باردة وممكن كقولك H ببغداد
. ת'ם יעזל קסמי אלואג'ב	. ثمّ يعزل قسمي الواجب
ואלממתנע נאחיה ויחצל	والممتنع ناحية ويحصل
פי אלחאל אלת'מאן עלי	في الحال الثامن على
אלכ'בר אלממכן פיפחץ ענה	الخبر الممكن فيفحص عنه
הל כאן כמא אכ'בר ענה	هل كان كما أخبر عنه
אלמכ'בר אם לא . ת'ם יאכ'ד'	المخبر أم لا . ثمّ يأخذ
פי אלחאל אלתאסע פי אלאסתדלאל	في الحال التاسع في الاستدلال
עלי ד'לך אלאמר אמא מן	على ذلك الأمر أمّا من
אלואג'ב פיסתכ'רג' מנה	الواجب فيستخرج منه
מא יוג'בה בבעץ' אלטרק	ما يوجبه ببعض الطرق
אלתי סנבינהא ואמא אלממתנע	التي سنُبيّنها وأمّا الممتنع
פימנע בה נט'רא ד'לך אלשי	فيمنع به نظرًا ذلك الشيء
אלד'י חכם בה . פאד'א	الذي حكم به . فإذا
בטלת כלהא ולם יבק אלא	بطلت كلّها ولم يبق إلاَّ
